English,Bengali
Children like cake.,বাচ্চারা কেক পছন্দ করে।
Does Tom help Mary?,টম কি মেরিকে সাহায্য করে?
Drink up your milk.,তোমার দুধটা খেয়ে নাও।
Everyone liked Tom.,সবাই টমকে পছন্দ করত।
Everyone was happy.,সবাই সুখী ছিলো।
Everyone was there.,সবাই ওখানে ছিলো।
Everything is over.,সব শেষ।
Get away from here.,এখান থেকে চলে যান।
Go to the hospital.,হাসপাতালে যান।
He hasn't come yet.,সে এখনো আসেনি।
He lives near here.,তিনি কাছাকাছিই থাকেন।
He's a good person.,উনি ভালো মানুষ।
I agree completely.,আমি পুরোপুরি একমত।
I am not a teacher.,আমি শিক্ষক নই।
I can't believe it!,আমি এটা বিশ্বাস করতে পারছি না!
I don't believe it!,আমি এটা বিশ্বাস করতে পারছি না!
I don't understand.,আমি বুঝতে পারছি না।
I feel bad for him.,ওর জন্য খুব খারাপ লাগছে।
I give you my word.,আমি তোমাকে কথা দিলাম।
I gritted my teeth.,আমি দাঁত কিড়মিড় করলাম।
I have a dry cough.,আমার শুকনো কাশি হয়েছে।
I have lost my key.,আমি আমার চাবি হারিয়ে ফেলেছি।
I have two nephews.,আমার দুটো ভাইপো আছে।
I heard you scream.,আমি তোমাকে চিৎকার করতে শুনলাম।
I know my daughter.,আমি আমার মেয়েকে চিনি।
I like eating cake.,আমি কেক খেতে ভালোবাসি।
I play with my son.,আমি আমার ছেলের সঙ্গে খেলি।
I ran to my mother.,আমি আমার মায়ের কাছে দৌড়ে গেলাম।
I want the blanket.,আমার চাদরটা চাই।
I want this guitar.,আমার এই গীটারটা চাই।
I was here in 2013.,আমি এখানে ২০১৩ তে এসেছিলাম।
I watch television.,আমি টিভি দেখি।
I'm at the library.,আমি গ্রন্থাগারে।
I'm not denying it.,আমি এটা অস্বীকার করছি না।
I'm not hungry now.,আমার এখন খিদে পায় নি।
I'm not your enemy.,আমি তোমার শত্রু নই।
I'm reading it now.,আমি সেটা এখন পড়ছি।
I'm ready to begin.,আমি শুরু করার জন্য তৈরি।
I've caught a cold.,আমার ঠান্ডা লেগে গেছে।
Is everybody ready?,সবাই তৈরি?
Is everything okay?,সবকিছু ঠিক আছে তো?
Is the book boring?,এই বইটা কি একঘেয়ে?
Is this Tom's book?,এটা কি টমের বই?
Is this book Tom's?,এই বইটা কি টমের?
Is this book yours?,এই বইটা কি তোমার?
Is this seat empty?,এই সীটটা কি ফাঁকা আছে?
Is this seat taken?,এই আসনটা কি নেওয়া হয়ে গেছে?
It's already seven.,ইতিমধ্যেই সাতটা বেজে গেছে।
It's not important.,এটি গুরুত্বপূর্ণ না।
Keep an eye on Tom.,টমের উপর নজর রাখো।
Let me handle this.,আমাকে ব্যপারটা সামলাতে দিন।
May I take a photo?,আমি কি একটা ছবি তুলতে পারি?
Maybe it will snow.,হয়তো বরফ পরবে।
My father is frank.,আমার বাবা খোলামেলা।
My father is young.,আমার বাবা জোয়ান।
My father was busy.,আমার বাবা ব্যস্ত ছিল।
My right leg hurts.,আমার ডান পা ব্যাথা করছে।
My stomach is full.,আমার পেট ভর্তি।
No one is laughing.,কেউ হাঁসছে না।
Nobody is speaking.,কেউই কথা বলছে না।
Nobody lives there.,ওখানে কেউ থাকে না।
Nobody understands.,কেউ বোঝে না।
Nobody was injured.,কেউ আহত হয়নি।
She is my daughter.,ও আমার মেয়ে।
She wants to dance.,ও নাচতে চায়।
She's eating fruit.,উনি ফল খাচ্ছেন।
That was important.,ওটা গুরুত্বপূর্ণ ছিল।
That's a good idea!,খুব ভাল বুদ্ধি!
There's no mistake.,কোনো ভুল নেই।
They seem American.,ওদের দেখে আমেরিকান বলে মনে হচ্ছে।
This chair is ugly.,এই চেয়ারটা বিশ্রী দেখতে।
This is a bad sign.,এটা একটা খারাপ লক্ষণ।
This is a hospital.,এটা একটা হাসপাতাল।
This is my brother.,এটা আমার ভাই।
Three were injured.,তিনজন আহত হন।
Times are changing.,সময় বদলাচ্ছে।
Times have changed.,সময় বদলে গেছে।
Tom began coughing.,টম কাশতে শুরু করলো।
Tom began to shout.,টম চিৎকার করতে শুরু করলো।
Tom broke his nose.,টম নিজের নাক ভেঙ্গে দিয়েছে।
Tom coughed loudly.,টম জোরে কাশলো।
Tom has a blue car.,টমের একটা নীল গাড়ি আছে।
Tom has been found.,টমকে পাওয়া গেছে।
Tom isn't here now.,টম এখন এখানে নেই।
Tom isn't here yet.,টম এখনো এখানে এসে পৌছায়নি।
Tom keeps his word.,টম ওর কথা রাখে।
Tom kept screaming.,টম চিৎকার করতেই থাকলো।
Tom likes potatoes.,টম আলু পছন্দ করে।
Tom plays football.,টম ফুটবল খেলে।
Tom screamed again.,টম আবার চিৎকার করবে।
Tom shook his head.,টম তার মাথা নাড়ালো।
Tom visited Boston.,টম বস্টন গেছিলেন।
Tom was helping me.,টম আমাকে সাহায্য করছিলো।
We do what we want.,আমরা যা চাই তাই করি।
What are my orders?,আমার জন্য কি আদেশ আছে?
What are you doing?,তুমি কী করছো?
What happened here?,এখানে কি হয়েছে?
What station is it?,এটা কোন স্টেশন?
Where can I buy it?,আমি এটা কোথা থেকে কিনতে পারব?
Where would Tom go?,টম আর কোথায় যাবে?
Where's the museum?,জাদুঘরটি কোথায়?
Which cap is yours?,কোন টুপিটা তোমার?
Which hat is yours?,কোন টুপিটা তোমার?
Who are those guys?,ওরা কারা?
Who broke the vase?,ফুলদানিটা কে ভাঙল?
Why can't you come?,তুমি আসতে পারবে না কেন?
Why did this occur?,এটা কেনো ঘটলো?
Why was Tom crying?,টম কাঁদছিলো কেন?
You are very brave.,তুমি খুব সাহসী।
You can study here.,তুমি এখানে পড়াশোনা করতে পার।
You look very pale.,আপনাকে দেখে খুব ফ্যাকাশে লাগছে।
You're my daughter.,তুমি আমার মেয়ে।
Are seats available?,বসার জায়গা আছে?
Are you coming down?,তুমি কি নিচে আসবে?
Aren't you a doctor?,তুমি ডাক্তার না?
Can I get a blanket?,আমি কি একটা চাদর পেতে পারি?
Can he speak French?,ও কি ফরাশি ভাষা বলতে পারে?
Did you read it all?,তুমি কি পুরোটা পরেছো?
Do the windows open?,জানলাগুলো খোলে?
Do you have my book?,তোমার কাছে কি আমার বইটা আছে?
Everybody liked Tom.,সবাই টমকে পছন্দ করত।
Everybody loved Tom.,সবাই টমকে ভালোবাসতো।
Everyone's watching.,সবাই দেখছে।
Everything is ready.,সবকিছু তৈরি।
Football is a sport.,ফুটবল একটা খেলা।
He had one daughter.,তাঁর দুটো মেয়ে ছিলো।
He was very patient.,উনি খুব ধৈর্যশীল ছিলেন।
How much will it be?,এটার কত দাম হবে?
How old is that dog?,ওই কুকুরটার বয়স কত?
How old is this zoo?,এই চিড়িয়াখানাটার বয়স কত?
I am eating noodles.,আমি নুডলস খাচ্ছি।
I can come at three.,আমি তিনটার সময় আসতে পারবো।
I do not understand.,আমি বুঝতে পারছি না।
I don't like coffee.,আমর কফি ভালো লাগে না।
I have been to Rome.,আমি রোমে গেছিলাম।
I have lost my keys.,আমি আমার চাবি হারিয়ে ফেলেছি।
I haven't forgotten.,আমি ভুলে যাইনি।
I know Tom is tired.,আমি জানি টম ক্লান্ত।
I love Celtic music.,আমি কেল্টিক সঙ্গীত ভালোবাসি।
I make €100 a day.,আমি দিনে €১০০ আয় করি।
I only speak French.,আমি খালি ফরাসি ভাষায় কথা বলি।
I want to go abroad.,আমি বিদেশে যেতে চাই।
I want your opinion.,আমি তোমার মতামত চাই।
I will be back soon.,আমি তারাতারিই ফিরে আসবো।
I wish I could swim.,আমি যদি সাঁতার কাটতে পারতাম।
I'll take this coat.,আমি এই কোটটা নেব।
I'm counting on you.,আমি তোমার উপর নির্ভর করে আছি।
I'm eating rice now.,আমি এখন ভাত খাচ্ছি।
I'm going to scream.,আমি চিৎকার করতে যাচ্ছি।
I'm in the hospital.,আমি হাসপাতালে আছি।
I'm not a bit tired.,আমি একটুও ক্লান্ত নই।
I'm not proud of it.,আমি এতে গর্বিত নই।
I'm not your friend.,আমি তোমার বন্ধু নই।
I'm proud of my son.,আমি আমার ছেলের উপর গর্বিত।
I'm really confused.,আমি সত্যিই দিশেহারা হয়ে পরেছি।
I'm resting my legs.,আমি আমার পাটা জিরোচ্ছি।
I've lost my wallet.,আমি আমার মানিব্যাগ হারিয়েছি।
Is it far from here?,ওটা কি এখান থেকে অনেক দূরে?
Is it still raining?,এখনো বৃষ্টি পরছে?
Is my laundry ready?,আমার লন্ড্রির কাপরগুলো কি তৈরি আছে?
Is this real silver?,এটা কি আসল রূপা?
Is this seat vacant?,এই সীটটা কি ফাঁকা আছে?
It looks appetizing.,এটা দেখে মুখরোচক বলে মনে হচ্ছে।
Let's give it a try.,আমরা একবার চেষ্টা করেই দেখি!
My back still hurts.,আমার পিঠ এখনো ব্যাথা করছে।
My mother is active.,আমার মা চটপটে।
Oil floats on water.,তেল জলে ভাসে।
Please show me that.,আমাকে একটু ওইটা দেখাবেন।
Please speak slowly.,অনুগ্রহ করে ধিরে কথা বলুন।
Respect your elders.,তোমার থেকে বড়দের শ্রদ্ধা করো।
She hasn't come yet.,সে এখনো আসেনি।
She's a good person.,উনি ভালো মানুষ।
That's not possible.,এটা অসম্ভব!
There's room inside.,ভেতরে একটা ঘর আছে।
They were all happy.,তারা সবাই সুখী ছিলো।
This drives me nuts.,এটা আমাকে পাগল করে দিচ্ছে।
This is my daughter.,এটা আমার মেয়ে।
This is what I want.,আমি এইটাই চাই।
Tom began screaming.,টম চেঁচানো শুরু করলো।
Tom came right away.,টম সঙ্গে সঙ্গেই চলে এলো।
Tom can read French.,টম ফরাসি পড়তে পারে।
Tom has been crying.,টম কাঁদছিলো।
Tom is 100% correct.,টম ১০০% ঠিক।
Tom is in the house.,টম বাড়ির ভেতরে আছে।
Tom is still in bed.,টম এখনো বিছানায়।
Tom nodded his head.,টম তার মাথা নাড়লো।
Tom rides a scooter.,টম স্কুটার চড়ে।
Tom rushed upstairs.,টম দৌড়ে উপরে গেলো।
Tom screamed loudly.,টম জোরে চিৎকার করলো।
Tom started yelling.,টম চেঁচানো শুরু করলো।
Tom threatened Mary.,টম মেরিকে ভয় দেখালো।
We love our country.,আমরা আমাদের দেশকে ভালোবাসি।
We saw the airplane.,আমরা প্লেনটাকে দেখলাম।
We traveled on foot.,আমরা পায়ে হেঁটে ঘুরে ছিলাম।
"Well, see you later.","আচ্ছা, আবার পরে দেখা হবে।"
Were you born there?,তুমি কি ওখানে জন্মেছিলে?
What did you forget?,তুমি কী ভুলে গেলে?
What does that mean?,ওটার মানে কী?
What does this mean?,এটার মানে কী?
What floor is it on?,সেটা কোন তলায়?
What have you found?,তুমি কী পেয়েছো?
What street is this?,এটা কোন রাস্তা?
What time is it now?,এখন কয়টা বাজে?
What's the time now?,এখন কয়টা বাজে?
Where does Tom live?,টম কোথায় থাকে?
Where is my luggage?,আমার মালপত্র কোথায়?
Where is the museum?,জাদুঘরটি কোথায়?
Where's the mistake?,ভুলটা কোথায়?
Who is your teacher?,তোমার শিক্ষক কে?
Why are you yelling?,তুমি চিৎকার করছো কেন?
You look very tired.,আপনাকে দেখে খুব ক্লান্ত লাগছে।
You may go home now.,তুমি এবার বাড়ি যেতে পারো।
Your shoes are here.,তোমার জুতোগুলো এখানে রয়েছে।
Are your hands clean?,তোমার হাত কি পরিষ্কার?
Boston is a big city.,বস্টন একটা বড়ো শহর।
Can you speak French?,তুমি কি ফরাসি ভাষা বলতে পারো?
Do you understand me?,তুমি কি আমার কথা বুঝতে পারছ?
Does Tom play tennis?,টম কি টেনিস খেলে?
Don't leave me alone.,আমাকে একলা ছেড়ে যেও না।
Don't worry about me.,আমার ব্যপারে চিন্তা করবেন না।
Everyone ignored Tom.,সবাই টমকে অগ্রাহ্য করলো।
Everyone uses Google.,সবাই গুগল ব্যবহার করে।
Have you finished it?,তোমার ওটা করা হয়ে গেছে?
He has two daughters.,তাঁর দুটো মেয়ে আছে।
He's in the hospital.,উনি হাসপাতালে আছেন।
He's younger than me.,ও আমার থেকে ছোট।
How much did you eat?,তুমি কতটা খেয়েছো?
How old is this tree?,এই গাছটা বয়স কত?
I am counting on you.,আমি তোমার উপর নির্ভর করে আছি।
I bought a newspaper.,আমি একটা খবরের কাগজ কিনলাম।
I checked everywhere.,আমি সব জায়গায় দেখেছি।
I did that last year.,আমি ওটা গত বছর করেছিলাম।
I didn't hit anybody.,আমি কাউকে মারিনি।
I don't know exactly.,আমি সঠিকভাবে জানিনা।
I don't use Facebook.,আমি ফেসবুক ব্যবহার করি না।
I have a new red car.,আমার একটা নতুন লাল গাড়ি আছে।
I have caught a cold.,আমার ঠান্ডা লেগে গেছে।
I have three options.,আমার কাছে তিনটে বিকল্প আছে।
I have two daughters.,আমার দুটো মেয়ে আছে।
I left the door open.,আমি দরজাটা খুলে রেখেছিলাম।
I like to eat apples.,আমি আপেল খেতে পছন্দ করি।
I need to send a fax.,আমার একটা ফ্যাক্স পাঠানোর দরকার আছে।
I resemble my mother.,আমি আমার মায়ের মত দেখতে।
I saw Tom last night.,আমি কাল রাতে টমকে দেখেছিলাম।
I think you're right.,আমার মনে হয় তুমি ঠিক।
I want an MP3 player!,আমার একটা MP3 প্লেয়ার চাই!
I was late to school.,আমার স্কুল যেতে দেরী হয়েগেছিল।
I was playing tennis.,আমি টেনিস খেলছিলাম।
I went to the bakery.,আমি বেকারিতে গেলাম।
I'm going to be late.,আমার দেরী হবে।
I'm not at all tired.,আমি একদমই ক্লান্ত নই।
I'm not denying that.,আমি ওটা অস্বীকার করছি না।
I'm not feeling well.,আমার শরীর ভালো লাগছে না।
I'm not tired at all.,আমি একদমই ক্লান্ত নই।
I'm not very patient.,আমি খুব একটা ধৈর্যশীল নই।
I'm not your teacher.,আমি তোমার শিক্ষক নই।
Is there an elevator?,কোনো লিফট আছে?
It is very hot today.,আজ খুব গরম।
It's very hot inside.,ভেতরে খুব গরম।
Lincoln died in 1865.,লিঙ্কন ১৮৬৫ এ মারা গেছিলেন।
May I ask a question?,আমি কি একটা প্রশ্ন করতে পারি?
My father grows rice.,আমার বাবা ধান চাষ করে।
My father is at home.,আমার বাবা বাড়িতে।
My mother can't come.,আমার মা আসতে পারবে না।
My mother cooks well.,আমার মা ভালো রান্না করতে পারে।
My motorcycle is new.,আমার মোটরসাইকেলটা নতুন।
Now listen carefully.,এবার মন দিয়ে শোনো।
One of them is a spy.,তাদের মধ্যে একজন গুপ্তচর।
Please eat something.,অনুগ্রহ করে কিছু খান।
Rabbits like carrots.,খরগোশ গাজর পছন্দ করে।
School starts Monday.,বিদ্যালয় সোমবার শুরু হবে।
She can speak French.,উনি ফরাসিতে কথা বলতে পারেন।
The fan doesn't work.,পাখাটা কাজ করছে না।
The rules are simple.,নিয়মগুলো সহজ।
The rumor isn't true.,গুজবটা সত্যি নয়।
The students laughed.,ছত্রছাত্রিরা হাসলো।
There's no more salt.,আর নুন নেই।
There's no more time.,আর সময় নেই।
This handbag is mine.,এই হাত ব্যাগটি আমার।
This is Tom's sister.,এই হচ্ছে টমের বোন।
This will cost €30.,এটার দাম পড়বে €৩০।
Tom and I were alone.,আমি আর টম একলা ছিলাম।
Tom caught the thief.,টম চোরটাকে ধরে ফেললো।
Tom changed his name.,টম তার নাম পল্টালো।
Tom dances very well.,টম বেশ ভালো নাচে।
Tom did that himself.,টম ওটা নিজেই করলো।
Tom has been injured.,টম আহত হয়েছে।
Tom has been wounded.,টম আহত হয়েছে।
Tom is going to sing.,টম গান গাইতে চলেছে।
Tom is in heaven now.,টম এখন স্বর্গে।
Tom is in his office.,টম ওর অফিসে রয়েছে।
Tom is now in prison.,টম এখন গারদে।
Tom never comes here.,টম কখনো এখানে আসে না।
Tom resumed speaking.,টম কথা বলতে শুরু করলো
Tom started coughing.,টম কাশতে শুরু করলো।
Tom stopped speaking.,টম কথা বলা থামালো।
We all work together.,আমরা সবাই একসাথে কাজ করি।
We can still do that.,আমরা এখনও সেটা করতে পারি।
We're both named Tom.,আমাদের দুজনের নামই টম।
What is today's date?,আজকের তারিখ কত?
Where are the photos?,ছবিগুলো কোথায়?
Where's the hospital?,হাসপাতালটা কোথায়?
Which floor is it on?,সেটা কোন তলায়?
Who would believe me?,তুমি কাকে বিশ্বাস করবে?
Who wrote the letter?,চিঠিটা কে লিখেছিল?
Why are you shouting?,তুমি চিৎকার করছো কেন?
Why don't we go home?,তাহলে বাড়ি যাওয়া যাক?
You don't understand.,তুমি বোঝ না।
Your answer is right.,তোমার উত্তর সঠিক।
Your answer is wrong.,তোমার উত্তর ভুল।
Accidents will happen.,দুর্ঘটনা ঘটবেই।
All three were killed.,তিনজনেই নিহত হয়েছেন।
Any child can do that.,যে কোনো শিশুই ওটা করতে পারে।
Beware of pickpockets.,পকেটমার থেকে সাবধান।
Can you get a day off?,তুমি কে একদিনের ছুটি নিতে পারবে?
Can you wait a minute?,তুমি কি এক মিনিটের জন্য অপেক্ষা করতে পারবে?
Coffee keeps me awake.,কফি আমাকে জাগিয়ে রাখে।
Do turtles have teeth?,কচ্ছপের কি দাঁত আছে?
Do you have a bicycle?,তোমার কি সাইকেল আছে?
Do you need a deposit?,কোনো টাকা জমা রাখতে হবে কি?
Do you understand now?,তুমি কি এখন বুঝতে পারছো?
Don't delude yourself.,নিজেকে বিভ্রান্ত কোরো না।
Don't you forget that.,ওটা একদম ভুলবে না।
Don't you have a bike?,তোমার কি বাইক নেই?
Eat anything you like.,তোমাদের যা কিছু পছন্দ হয় তাই খাও।
Eat whatever you like.,তোমার যা পছন্দ হয় তাই খাও।
Eat whatever you want.,তোমার যা চাই তাই খাও।
Everybody ran outside.,সবাই বাইরে দৌড়ে গেলেন।
Everyone else laughed.,বাকি সবাই হাসলো।
Everyone knows it now.,সবাই এখন এটা জানে।
Forty people attended.,চল্লিশ জন উপস্থিত ছিলেন।
He acted as our guide.,উনি আমাদের পথপ্রদর্শক হিসাবে কাজ করলেন।
He can speak Japanese.,ইনি জাপানি বলতে পারেন।
He hasn't arrived yet.,উনি এখনো এসে পৌছাননি।
He's eating lunch now.,উনি এখন লাঞ্চ করছেন।
How long did you stay?,তুমি কতক্ষণ ছিলে?
How much does it cost?,এর দাম কত?
I am 30 years old now.,আমার এখন তিরিশ বছর বয়স।
I am here on business.,আমি এখানে ব্যবসার জন্য এসেছি।
I bought it last week.,আমি গত সপ্তাহে এটা কিনেছিলাম।
I can't stop coughing.,আমি কাশি থামাতেই পারছি না।
I decided to call Tom.,আমি টমকে ফোন করার সিদ্ধান্ত নিলাম।
I do not want to work.,আমি কাজ করতে চাই না।
I found the book easy.,আমর বইটা সহজ বলে মনে হয়েছিল।
I have a slight fever.,আমার অল্প জ্বর হয়েছে।
I have class tomorrow.,আমার কাল ক্লাস আছে।
I have to go to sleep.,আমাকে ঘুমাতে যেতে হবে।
I heard you screaming.,আমি তোমাকে চিৎকার করতে শুনলাম।
I never liked biology.,আমার জীবনবিজ্ঞান কখনই ভালো লাগেনি।
I signed the contract.,আমি চুক্তিটা সই করলাম।
I used to play tennis.,আমি টেনিস খেলতাম।
I usually eat outside.,আমি সাধারণত বাইরে খাই।
I was born in October.,আমি অক্টোবরে জন্মেছি।
I was in the hospital.,আমি হাসপাতালে ছিলাম।
I'm not proud of that.,আমি ওতে গর্বিত নই।
I'm not proud of this.,আমি এটায় গর্বিত নই।
I'm not young anymore.,আমি আর তরুণ নেই।
I'm reading your book.,আমি তোমার বইটা পড়ছি।
I'm still your friend.,আমি এখনো তোর বন্ধু আছি।
I've finished my work.,আমি আমার কাজ শেষ করেছি।
Is your watch correct?,তোমার ঘড়ি ঠিক আছে?
It's a quarter to two.,পৌনে দুটো বাজে।
It's driving me crazy.,এটা আমাকে পাগল করে দিচ্ছে।
It's what I'm used to.,আমি এতেই অভ্যস্ত।
Just try to keep calm.,একটু শান্ত থাকার চেষ্টা করো।
Keep Tom away from me.,টমকে আমার থেকে দূরে রাখুন।
"Like father, like son.","যেমন বাপ, তেমন ছেলে।"
Make yourself at home.,এটা নিজের ঘর মনে করো।
May I open the window?,আমি কি জানলাটা খুলতে পারি?
My baggage is missing.,আমার মালপত্র পাওয়া যাচ্ছে না।
My father is a doctor.,আমার বাবা একজন ডাক্তার।
My father loves pizza.,আমার বাবা পিজ্জা ভালবাসে।
My mother loves music.,আমার মা সঙ্গীত ভালবাসে।
Nice to see you again.,আপনাকে আবার দেখে ভালো লাগলো।
Nobody here does that.,এখানে কেউই ওরকম করে না।
Nobody understands me.,আমাকে কেউ বোঝে না।
Please wake me at six.,আমাকে ছটার সময় জাগিয়ে দেবেন।
She has two daughters.,তাঁর দুটো মেয়ে আছে।
She's my older sister.,ও আমার দিদি।
She's younger than me.,ও আমার থেকে ছোট।
Sit wherever you like.,তোমার যেখানে ইচ্ছে হয় বসো।
Tell me what happened.,আমাকে বলুন কি ঘটেছিলো।
That book is very old.,ওই বইটা খুব পুরানো।
That's rather amusing.,এটা বেশ মজার ব্যপার।
The baby is screaming.,বাচ্চাটা চিৎকার করছে।
The cake is delicious.,কেকটা সুস্বাদু।
The experiment failed.,গবেষণাটি অসফল হলো।
The war ended in 1954.,যুদ্ধটা ১৯৫৪ সালে শেষ হয়েছিল।
There are no problems.,কোনো অসুবিধা নেই।
This is not important.,এটি গুরুত্বপূর্ণ না।
"To me, it's important.",আমার কাছে এটা গুরূত্বপুর্ণ।
Tom also plays guitar.,টমও গীটার বাজায়।
Tom can't play tennis.,টম টেনিস খেলতে পারে না।
Tom continued yelling.,টম চিৎকার করতেই থাকলো।
Tom coughed all night.,টম সারা রাত্রি কাশছিলো।
Tom died last October.,টম গত অক্টোবর মারা গেছে।
Tom eats very quickly.,টম খুব তারাতারি খায়।
Tom grew up in Boston.,টম বস্টনে বড়ো হয়েছে।
Tom is as big as I am.,টম আমার মতই বড়ো।
Tom is very religious.,টম খুব ধার্মিক।
Tom sat on the stairs.,টম সিঁড়িতে বসলো।
Tom started screaming.,টম চেঁচানো শুরু করলো।
Tom started the fight.,টম লড়াইটা শুরু করেছে।
Tom started to scream.,টম চিৎকার করতে শুরু করলো।
Tom stopped screaming.,টম চিৎকার করা বন্ধ করলো।
Tom taught me to read.,টম আমাকে পড়তে শিখিয়েছে।
Tom teaches me French.,টম আমাকে ফরাসি শেখায়।
Tom tried to hit Mary.,টম মেরিকে মারার চেষ্টা করলো।
Tom will be here soon.,টম এখানে খুব শিঘ্রই আসছে।
We have to be careful.,আমাদেরকে সাবধান হতে হবে।
We have two daughters.,আমাদের দুটো মেয়ে আছে।
We often eat together.,আমরা প্রায়শই একসাথে খাই।
We've just had dinner.,আমরা সবে রাতের খাবার খেয়েছি।
What are you here for?,তুমি এখানে কি জন্য এসেছো?
What does your son do?,তোমার ছেলে কি করে?
What have you brought?,তুমি কী এনেছো?
What is the next stop?,এর পরের স্টপ কোনটা?
What time is it there?,ওখানে এখন কটা বাজে?
What's my room number?,আমার রুম নম্বর কত?
What's your full name?,তোমার পুরো নাম কী?
Where are your things?,তোমার জিনিসপত্র কোথায়?
Where can I buy books?,আমি বই কোথা থেকে কিনতে পারব?
Where is the elevator?,লিফটটা কোথায়?
Why wait until Monday?,সোমবার অবধি অপেক্ষা করার কি আছে?
Will it rain tomorrow?,আগামীকাল কি বৃষ্টি হবে?
Winning is never easy.,জেতাটা কখনোই সহজ নয়।
You didn't understand.,তুমি বুঝতে পারো নি।
You'll never be alone.,তুমি কখনো একা থাকবে না।
Can you play the piano?,তুমি পিয়ানো বাজাতে পার?
Could I have the check?,আমি কি একটু চেকটা পেতে পারি?
Did you see him go out?,তুমি কি ওনাকে বেড়িয়ে যেতে দেখেছো?
Don't move these books.,এই বইগুলো সরাবেন না।
Don't underestimate me.,আমাকে কোন অংশে কম মনে কোরো না।
Don't underestimate us.,আমাদেরকে কোন অংশে কম মনে কোরো না।
Everybody is very busy.,সবাই খুব ব্যস্ত।
Everyone was satisfied.,সবাই সন্তুষ্ট ছিলো।
Everyone was screaming.,সবাই চেঁচাচ্ছিলেন।
Everyone went to sleep.,সবাই ঘুমাতে চলে গেলো।
French isn't difficult.,ফরাসি কঠিন নয়।
"Good morning, everyone.",সবাইকে সুপ্রভাত।
He has three daughters.,ওনার তিনটে মেয়ে আছে।
He is having lunch now.,উনি এখন লাঞ্চ করছেন।
He knows where we live.,উনি জানেন আমরা কোথায় থাকি।
He was giving a speech.,উনি বক্তৃতা দিচ্ছিলেন।
He went to the dentist.,উনি দাঁতের ডাক্তারের কাছে গেছিলেন।
Here's my phone number.,এই হোল আমার ফোন নাম্বার।
How much is this clock?,এই ঘড়িটার দাম কত?
How much is this watch?,এই ঘড়িটার দাম কত?
How old is that church?,ওই চার্চটার বয়স কত?
How old is this church?,এই চার্চটার বয়স কত?
How old is your father?,তোমার বাবার বয়স কত?
I don't agree with him.,আমি ওর সাথে একমত নই।
I don't like Tom's dog.,আমার টমের কুকুরকে ভালো লাগে না।
I don't speak Japanese.,আমি জাপানি ভাষায় কথা বলি না।
I don't understand you.,আমি তোমার কথা বুঝতে পারছি না।
I go to school on foot.,আমি হেঁটে স্কুলে যাই।
I have three daughters.,আমার তিনটে মেয়ে আছে।
I just eat bananas now.,আমি এখন খালি কলা খাই।
I love solving puzzles.,আমি ধাঁধা সমাধান করতে ভালোবাসি।
I need those documents.,আমার ওই কাগজপত্রগুলো দরকার।
I received your letter.,আমি তোমার চিঠি পেয়েছি।
I saw him wash the car.,আমি ওনাকে গাড়ি ধুতে দেখলাম।
I think I lost my keys.,আমার মনে হয় আমি আমার চাবিটা হারিয়ে ফেলেছি।
I thought Tom was dead.,আমি ভেবেছিলাম টম মারা গেছিলো।
I was in the mountains.,আমি পাহাড়ে ছিলাম।
I went to the hospital.,আমি হাসপাতালে গেছিলাম।
I will gladly help you.,আমি খুশি মনে তোমাকে সাহায্য করব।
I'd like to see my son.,আমি আমার ছেলেকে দেখতে চাই।
I'd rather go swimming.,তার থেকে আমি সাঁতার কাটতে ষাব।
I'm at the station now.,আমি এখন স্টেশনে।
I'm going to a meeting.,আমি একটা সভায় যাচ্ছি।
I'm really embarrassed.,আমি সত্যিই লজ্জিত।
Is Tom still mad at me?,টম কি এখনো আমার উপর রেগে আছে?
Is it a recent picture?,এটা কি সাম্প্রতিক ছবি?
Is this seat available?,এই আসনটা কি পাওয়া যাবে?
It doesn't surprise me.,এতে আমি অবাক হইনি।
It's October the third.,তেশরা অক্টোবর।
It's fairly warm today.,আবহাওয়া আজ মোটামুটি উষ্ণ আছে।
It's rather cold today.,আজ বেশ ঠান্ডা আছে।
May I open the windows?,আমি কি জানলাগুলো খুলতে পারি?
May I start eating now?,আমি কি এখন খাওয়া শুরু করতে পারি?
My father is a teacher.,আম্মার বাবা একজন শিক্ষক।
My father is very nice.,আমার বাবা খুব ভালো।
My son came to my room.,আমার ছেলে আমার ঘরে এসেছিল।
My son can't count yet.,আমার ছেলে এখনো গুনতে পারে না।
My throat is a bit dry.,আমার গলাটা একটু শুকিয়ে গেছে।
No one man could do it.,কোনো একজন মানুষ এটা করতে পারবে না।
Nobody's indispensable.,কেউই অপরিহার্য নয়।
School begins tomorrow.,ইস্কুল কালকে শুরু হবে।
She can speak Japanese.,ইনি জাপানি বলতে পারেন।
She is younger than me.,ও আমার থেকে ছোট।
Tell me which you want.,তোমার কোনটা দরকার আমাকে বলো।
"Thanks, this is enough.","ধন্যবাদ, এতেই হবে।"
The balloon will burst.,বেলুনটা ফেটে যাবে।
The rain lasted a week.,বৃষ্টিটি এক সপ্তাহ ধরে চলেছিল।
"The sooner, the better.","যত তাড়াতাড়ি হয়, তত ভালো।"
They say love is blind.,সবাই বলে ভালোবাসা অন্ধ।
This is very good soil.,এটা খুব ভালো মাটি।
This isn't a good sign.,এটা ভালো লক্ষণ নয়।
